nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat	szAchievement
232	MainTask1_232	[C] Vật Trong Túi	Hi vọng Chu Tiểu Phú có thể phấn đấu vươn lên! Có thể đường đường chính chính cưới Hà Tiêu Tường! Đến lúc tìm Giả Bộc Trực rồi!	Hỏi [FFFE0D]Giả Bộc Trực[-] trong túi có gì	Hỏi [FFFE0D]Giả Bộc Trực[-] trong túi có gì	[url=clientnpcbyidx:test, 147]	[url=clientnpcbyidx:test, 147]	147|192	147|150|192	231	233	224								Exp|20000;Gold|10000			1	1													
233	MainTask1_233	[C] Kỳ Phùng Địch Thủ	Thì ra năm đó Trương đại hiệp và Độc Cô đại hiệp đã từng giao đấu! Phải hỏi rõ ràng mới được!	Nghe [FFFE0D]Giả Bộc Trực[-] kể chuyện xưa	Nghe [FFFE0D]Giả Bộc Trực[-] kể chuyện xưa	[url=goanddosomething:test, 405, 14550, 14020, gotofuben, 4, 5, 1]		148	148	232	234			4|5|1	1			1		Exp|20000;Gold|100000			1	1													
234	MainTask1_234	[C] Nhỉnh Hơn Một Chút	Hai người đều là cao thủ võ lâm, tuy kết quả cả hai đều bị thương nhưng Độc Cô đại hiệp vẫn hơn một bậc, lúc bấy giờ hai người lần lượt được cứu đi, Trương Đại Hiệp được Nam Cung cô nương cứu, còn người cứu Độc Cô đại hiệp là ai?	Cảm ơn [FFFE0D]Giả Bộc Trực[-]	Cảm ơn [FFFE0D]Giả Bộc Trực[-]	[url=clientnpcbyidx:test, 147]	[url=clientnpcbyidx:test, 147]	147	147	233	235	226						1	1	Exp|20000;Gold|100000;Item|1113|1			1	1													
235	MainTask1_235	[C] Nghe Ngóng Tin Tức	Xem ra lúc trẻ Độc Cô đại hiệp nhỉnh hơn một bậc, không biết sau đó họ còn tái đấu không, mong là sau này có thể thỉnh giáo họ! Thôi, giờ về gặp Bà Chủ hỏi thông tin trước!	Về Lâm An tìm [FFFE0D]Công Tôn Tích Hoa[-]	Về Lâm An tìm [FFFE0D]Công Tôn Tích Hoa[-]	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]	148	148	234	236	6234	99					1	1	Exp|20000;Gold|10000;ComposeValue|2|2			1	1													
236	MainTask1_236	[C] Đành Chờ Đợi	Nơi thiếu hiệp sắp đến vô cùng nguy hiểm, hãy bảo trọng!	Luyện và tăng đến Lv[FFFE0D]40[-]	Luyện và tăng đến Lv[FFFE0D]40[-]	[url=openwnd:test, CalendarPanel, 1]	[url=openwnd:test, CalendarPanel, 1]			235	237				1								1	1						40							
237	MainTask1_237	[C] Điều Tra Võ Di	Không biết nay Độc Cô đại hiệp và Trương đại hiệp đang ở đâu?	Đến [FFFE0D]Võ Di Kiếm Phái[-] thăm dò lần nữa	Đến [FFFE0D]Võ Di Kiếm Phái[-] thăm dò lần nữa	[url=pos:test,404,14280,3950]	[url=pos:test,404,14280,3950]			236	238				1					Exp|20000;Gold|10000			1	1	[url=dialog:test, 233]				480								
238	MainTask1_238	[C] Tín Vật Ngũ Sắc	Muốn đến Võ Di Kiếm Phái quả thật không dễ, tóm lại là phải theo quy định của họ, hãy xông vào Cửu Hầu Động trước đã!	Đuổi bầy [FFFE0D]Khỉ[-] ở Cửu Hầu Động	Đuổi bầy [FFFE0D]Khỉ[-] ở Cửu Hầu Động	[url=npcanddosomething:test, 1424, 480, autofight, 1]		128	128	237	239				1					Exp|20000;Gold|10000	1424|3	1	1	1													
239	MainTask1_239	[C] Trở Lại Võ Di	Chưởng môn Võ Di Kiếm Phái đã về chưa, năm xưa Võ Di Cấm Địa xảy ra chuyện gì, ta rất hiếu kỳ đó.	Xin [FFFE0D]Đệ Tử Võ Di[-] được bái kiến	Xin [FFFE0D]Đệ Tử Võ Di[-] được bái kiến	[url=clientnpcbyidx:test, 259]	[url=clientnpcbyidx:test, 259]	148|259	148|259	238	240	227						1	1	Exp|20000;Gold|100000;Item|222|5			1	1													
240	MainTask1_240	[C] Chờ Thông Báo	Trương chưởng môn cuối cùng đã về, may mà lần này đi không uổng công, hy vọng có thể đến được Võ Di Cấm Địa.	[FFFE0D]Đợi [-]một chút	[FFFE0D]Đợi [-]một chút	[url=taskitem:test, $T]	[url=taskitem:test, $T]	262	262	239	241				1	1	229			Exp|20000;Gold|10000			1	1	[url=dialog:test, 228]												
241	MainTask1_241	[C] Hỏi Thăm Kết Quả	Vị sư huynh này có gì đó quái lạ, chẳng lẽ có chuyện gì xảy ra rồi sao?	[FFFE0D]Hỏi có thể[-] vào cấm địa không	[FFFE0D]Hỏi có thể[-] vào cấm địa không	[url=taskitem:test, $T]	[url=taskitem:test, $T]	261	261	240	242				1	1	230			Exp|20000;Gold|10000			1	1	[url=dialog:test, 229]												
242	MainTask1_242	[C] Tín Vật Ngũ Sắc	Thì ra là muốn thử thách ta! Chỉ là một ít tàn dư mà muốn khôi phục lại Ngũ Sắc Giáo, đúng là không tự lượng sức!	Đánh bại [FFFE0D]Mật Thám[-] lấy Tín Vật	Đánh bại [FFFE0D]Mật Thám[-] lấy Tín Vật	[url=npcanddosomething:test, 1427, 480, autofight, 1]		260	260	241	243				1					Exp|20000;Gold|10000	1427|3	1	1	1	[url=dialog:test, 230]												
243	MainTask1_243	[C] Chứng Minh	Thủ cấp và tín vật của Ngũ Sắc Giáo, có nó họ sẽ tin ta không phải gian tế của Ngũ Sắc Giáo!	Lấy tín vật về cho [FFFE0D]Đệ Tử Võ Di[-]	Lấy tín vật về cho [FFFE0D]Đệ Tử Võ Di[-]	[url=clientnpcbyidx:test, 259]	[url=clientnpcbyidx:test, 259]	259	259	242	244	232								Exp|20000;Gold|10000			1	1													
244	MainTask1_244	[C] Võ Di Kiếm Phái	Cuối cùng cũng được chúng tin tưởng, Võ Di Kiếm Phái hiển hách giang hồ năm xưa, không biết giờ ra sao nhỉ?	Đến [FFFE0D]Võ Di Kiếm Phái[-]	Đến [FFFE0D]Võ Di Kiếm Phái[-]	[url=pos:test,480,7200,6600]	[url=pos:test,480,7200,6600]	193|260	193|260	243	245				1					Exp|20000;Gold|10000			1	1					488								Task_6
245	MainTask1_245	[C] Chưởng Môn	Trương chưởng môn năm xưa trải qua biến cố bi thảm, nay là tiền bối nổi tiếng hẳn có chỗ hơn người, mau đến gặp ông ta!	Bái kiến chưởng môn [FFFE0D]Võ Di Phái[-]	Bái kiến chưởng môn [FFFE0D]Võ Di Phái[-]	[url=clientnpcbyidx:test, 129]	[url=clientnpcbyidx:test, 129]	128|129	128|129	244	246	234								Exp|20000;Gold|100000			1	1	[url=openwnd:test, ChapterPanel, "ChapterTitle_07"]												
246	MainTask1_246	[C] Võ Di Bí Sử	Không biết Võ Di Kiếm Phái đã trải qua biến cố gì mà đến mức này, giang hồ phân tranh đáng sợ thật! Tà giáo quá tàn độc!	Tìm hiểu biến cố [FFFE0D]Võ Di Kiếm Phái[-] xưa kia	Tìm hiểu biến cố [FFFE0D]Võ Di Kiếm Phái[-] xưa kia	[url=goanddosomething:test, 488, 3000, 6300, gotofuben, 5, 1, 1]		130	130	245	247			5|1|1	1			1		Exp|20000;Gold|10000			1	1													
247	MainTask1_247	[C] Tin Tức	Thì ra Liễu Trung Nguyên cũng là mục tiêu ám sát. Dù là hiệp khách tài giỏi cũng bị hại bởi người có võ công cao hơn, ân oán không dứt...	Hãy tăng cấp đến Lv[FFFE0D]43[-]	Đa tạ [FFFE0D]Trương Lâm[-] nói cho ta biết	[url=clientnpcbyidx:test, 195]	[url=clientnpcbyidx:test, 195]	195	195	246	248	236						1	1	Exp|20000;Gold|10000;Item|1969|1			1	1						43							
248	MainTask1_248	[C] Hồng Y Thích Khách	Quái lạ! Võ Di Kiếm Phái tuy suy tàn nhưng cũng có bản lĩnh, rốt cuộc là ai mà dám đến làm loạn vậy nhỉ!	Diệt [FFFE0D]Thích Khách[-] 	Diệt [FFFE0D]Thích Khách[-] 	[url=npcanddosomething:test, 1429, 488, autofight, 1]		196	196	247	249				1					Exp|20000;Gold|10000	1429|3	1	1	1	[url=dialog:test, 244]												
249	MainTask1_249	[C] Từ Đâu Mà Đến	Võ công những người này rất lợi hại, xem ra không phải tiểu tặc tầm thường, phải hỏi xem Trương chưởng môn có biết chúng là ai không!	Hỏi [FFFE0D]Trương Lâm[-] bọn đó là ai?	Hỏi [FFFE0D]Trương Lâm[-] bọn đó là ai?	[url=clientnpcbyidx:test, 195]	[url=clientnpcbyidx:test, 195]	195	195	248	250	245								Exp|20000;Gold|100000			1	1													
250	MainTask1_250	[C] Võ Di Cấm Địa	Không ngờ「Phong Lôi Cửu Châu」của Độc Cô đại hiệp và「Phụng Vũ Cửu Thiên」của Trương Lâm Tâm cô nương là học từ cấm địa Võ Di Kiếm Phái, tiếc là sau này không ai phát dương quang đại hai bộ võ công này.	Cùng Trương Lâm đến [FFFE0D]Võ Di Cấm Địa[-]	Cùng Trương Lâm đến [FFFE0D]Võ Di Cấm Địa[-]	[url=pos:test,488,7470,10450]	[url=pos:test,488,7450,10500]	185|186	185	249	251				1					Exp|20000;Gold|100000			1	1	[url=dialog:test, 246]				489								
251	MainTask1_251	[C] Sóng Gió Cửu Châu	Trên tường là tuyệt kỹ của phu phụ Độc Cô đại hiệp từng danh chấn giang hồ.「Phong Lôi Cửu Châu」và「Phụng Vũ Cửu Thiên」, nghe nói là do cao thủ Ngũ Sắc Giáo và nữ hiệp của Võ Di Kiếm Phái sáng tạo nên, tiếc là giờ không còn nguyên vẹn...	Xem [FFFE0D]võ công trên tường[-]	Xem [FFFE0D]võ công trên tường[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	186	186	250	252				1	1	238			Exp|20000;Gold|10000			1	1													
252	MainTask1_252	[C] Tìm Hiểu Quá Khứ	Năm xưa vợ chồng Độc Cô đại hiệp học được võ công tại đây, không biết tình hình thế nào, hãy hỏi Trương chưởng môn. 	Hỏi [FFFE0D]Trương Lâm[-] chuyện năm xưa	Hỏi [FFFE0D]Trương Lâm[-] chuyện năm xưa	[url=clientnpcbyidx:test, 197]	[url=clientnpcbyidx:test, 197]	197	197	251	253	248								Exp|20000;Gold|100000			1	1													
253	MainTask1_253	[C] Huyết Sử Năm Xưa	Theo ký ức của Trương chưởng môn truy tìm dấu vết Độc Cô Kiếm. Tìm hiểu việc năm xưa Võ Di Cấm Địa, Liễu Trung Nguyên tiền bối gặp thích sát.	Nghe [FFFE0D]Trương Lâm[-] kể chuyện năm xưa	Nghe [FFFE0D]Trương Lâm[-] kể chuyện năm xưa	[url=goanddosomething:test, 489, 3600, 5550, gotofuben, 5, 2, 1]		198	198	252	254			5|2|1	1			1		Exp|20000;Gold|10000			1	1													
254	MainTask1_254	[C] Sự Việc Đã Rồi	Trương chưởng môn năm xưa cũng từng ở Võ Di Cấm Địa, những tưởng Võ Di Kiếm Phái mất hết tinh nhuệ, cũng may Trương chưởng môn được trời thương, bị trọng thương mà vẫn qua khỏi.	Đa tạ [FFFE0D]Trương Lâm[-] lần nữa	Đa tạ [FFFE0D]Trương Lâm[-] lần nữa	[url=clientnpcbyidx:test, 199]	[url=clientnpcbyidx:test, 199]	199	199	253	255	250						1	1	Exp|20000;Gold|10000;Item|222|5			1	1													
255	MainTask1_255	[C] Tìm Vật Bị Mất	Trương chưởng môn là người rất cẩn thận, sao lại để lộ vật này chứ? Xem ra việc này nhất định có ẩn ý, ta phải quan sát kỹ càng!	Quay về Cấm Địa giúp [FFFE0D]Trương Lâm[-]	Quay về Cấm Địa giúp [FFFE0D]Trương Lâm[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	200		254	256				1	1	251			Exp|20000;Gold|10000			1	1													
256	MainTask1_256	[C] Thích Khách Xuất Hiện	Không ngờ họ lại chú ý đến nơi này, xem ra ta phải nhanh lên, tuyệt đối không để họ tìm được Độc Cô đại hiệp và 「Bản Đồ Sơn Hà Xã Tắc」!	Diệt [FFFE0D]Thích Khách[-] xuất hiện	Diệt [FFFE0D]Thích Khách[-] xuất hiện	[url=npcanddosomething:test, 1428, 489, autofight, 1]		200		255	257				1					Exp|20000;Gold|10000	1428|3	1	1	1													
257	MainTask1_257	[C] Lục Tung Tất Cả	Quái lạ! Sao lại có sát thủ nhỉ, hay là Võ Di Kiếm Phái có bí mật gì chăng? Thứ mà Trương chưởng môn nói chắc là ở trong rương, tìm và đưa về cho ông ta vậy!	Tìm [FFFE0D]quyển trục Trương Lâm đã nói[-]	Tìm [FFFE0D]quyển trục Trương Lâm đã nói[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	200		256	258				1	1	253			Exp|20000;Gold|10000			1	1													
258	MainTask1_258	[C] Vết Kiếm Trên Tường	Trên bức tường đằng kia có vài dấu vết kỳ lạ, hãy đến xem thử là gì!	Xem [FFFE0D]vết kiếm trên tường[-]	Xem [FFFE0D]vết kiếm trên tường[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	200	200	257	259				1	1	254			Exp|20000;Gold|10000			1	1													
259	MainTask1_259	[C] Lai Lịch Vết Kiếm	Vết kiếm này rất mạnh mẽ, nhưng sao bên cạnh lại có dấu vết của kiếm ý ôn nhu hơn, không biết do ai để lại?	Quay về giao đồ cho [FFFE0D]Trương Lâm[-]	Quay về giao đồ cho [FFFE0D]Trương Lâm[-]	[url=clientnpcbyidx:test, 199]	[url=clientnpcbyidx:test, 199]	199	199	258	260	255						1	1	Exp|20000;Gold|10000;ComposeValue|2|3			1	1													
260	MainTask1_260	[C] Tiệm Rèn Đoàn Gia	Thì ra là vết kiếm của Độc Cô đại hiệp và Trương nữ hiệp, họ đã có được kiếm ý, khó trách sau này lại trở thành kiếm khách giỏi nhất thiên hạ!	Đến [FFFE0D]Điểm Thương Sơn[-]	Đến [FFFE0D]Điểm Thương Sơn[-]	[url=pos:test, 489, 960, 310]	[url=pos:test, 489, 960, 310]	200		259	261				1					Exp|20000;Gold|10000			1	1					405								
261	MainTask1_261	[C] Danh Kiếm	Nghe nói Độc Cô đại hiệp lúc đầu không dùng「Cự Khuyết Kiếm」mà dùng Việt Nữ Kiếm hành tẩu giang hồ, thì ra 2 cây kiếm này do một cô nương rèn nên.	Hãy tăng cấp đến Lv[FFFE0D]46[-]	Tìm hiểu Việt Nữ Kiếm	[url=clientnpcbyidx:test, 157]	[url=clientnpcbyidx:test, 157]	157|200	157|200	260	262	257								Exp|20000;Gold|100000			1	1						46							
262	MainTask1_262	[C] Lượng Kiếm Đối Quyết	Nghe nói năm xưa Trương Phong chịu tội danh phản quốc, cố gắng mà không ai hiểu, đáng tiếc bị hại bởi tên Nam Cung Diệt!	Đến [FFFE0D]nơi quyết chiến[-] xưa	Đến [FFFE0D]nơi quyết chiến[-] xưa	[url=pos:test, 405, 2550, 9030]	[url=pos:test, 405, 2550, 9030]	158	158	261	263				1					Exp|20000;Gold|10000			1	1	[url=dialog:test, 258]				490								
263	MainTask1_263	[C] Hiệp Chi Đại Giả	Năm xưa Trương Phong đại hiệp bị hiểu lầm nhưng chưa từng biện bạch, mãi đến lúc trước khi mất mới nói bí mật này cho Độc Cô đại hiệp và Trương cô nương biết, thật đáng kính phục!	Hỏi [FFFE0D]Đoàn Phù Dung[-] lai lịch nơi này	Hỏi [FFFE0D]Đoàn Phù Dung[-] lai lịch nơi này	[url=clientnpcbyidx:test, 159]	[url=clientnpcbyidx:test, 159]	159	159	262	264	259								Exp|20000;Gold|100000			1	1													
264	MainTask1_264	[C] Nhớ Lại Dĩ Vãng	Xem ra Đoàn cô nương biết rõ chuyện giao đấu của Trương Phong và Nam Cung Diệt băn xưa, hãy nghe cô ấy thuật lại.	Tìm ký ức xưa của [FFFE0D]Đoàn Phù Dung[-]	Tìm ký ức xưa của [FFFE0D]Đoàn Phù Dung[-]	[url=goanddosomething:test, 490, 7400, 5500, gotofuben, 5, 3, 1]		160	160	263	265			5|3|1	1			1		Exp|20000;Gold|10000			1	1													
265	MainTask1_265	[C] Phi Kiếm Trương Phong	Nếu năm xưa Độc Cô đại hiệp bình tĩnh hơn, có lẽ bi kịch đã không xảy ra, thù hận dễ làm mờ mắt, câu nói này quả không sai.	Nhắc nhở [FFFE0D]Đoàn Phù Dung[-] cẩn thận	Nhắc nhở [FFFE0D]Đoàn Phù Dung[-] cẩn thận	[url=clientnpcbyidx:test, 201]	[url=clientnpcbyidx:test, 201]	201	201	264	266	261						1	1	Exp|20000;Gold|10000;Item|1968|2;ComposeValue|2|4			1	1													
266	MainTask1_266	[C] Truy Đuổi Không Tiếc	Hừ! Thích Khách xuất hiện khắp nơi, chúng đã đuổi đến đây, nếu đã đến thì đừng hòng rời khỏi!	Diệt [FFFE0D]Thích Khách[-] 	Diệt [FFFE0D]Thích Khách[-] 	[url=npcanddosomething:test, 1431, 490, autofight, 1]		202	202	265	267				1					Exp|20000;Gold|100000	1431|3	1	1	1	[url=dialog:test, 262]												
267	MainTask1_267	[C] Nữ Trung Hào Kiệt	Cần cho Đoàn cô nương sống yên bình, Độc Cô đại hiệp nếu biết những người này vì ngài mà bị truy sát chắc sẽ nổi điên xông vào hang ổ diệt sạch địch.	Từ biệt [FFFE0D]Đoàn Phù Dung[-]	Từ biệt [FFFE0D]Đoàn Phù Dung[-]	[url=clientnpcbyidx:test, 201]	[url=clientnpcbyidx:test, 201]	201	201	266	268	263								Exp|20000;Gold|100000			1	1													
268	MainTask1_268	[C] Hỏi Thăm Khắp Nơi	Đường lên Hoa Sơn hiểm trở, hơn nữa Hoa Sơn đã bế môn từ lâu, muốn lên đó e rằng không dễ. Hãy hỏi các thôn dân gần đây xem có cách nào khác không!	Hãy thoát rồi đến [FFFE0D]Hưởng Thủy Động[-]	Hãy thoát rồi đến [FFFE0D]Hưởng Thủy Động[-]	[url=pos:test, 490, 1720, 7400]	[url=pos:test, 490, 1720, 7400]	162|267	267	267	269				1					Exp|20000;Gold|10000			1	1	[url=dialog:test, 264]				406								
269	MainTask1_269	[C] Hỏi Thăm Dọc Đường	Nơi đây vắng vẻ, tìm thấy người chưa chắc đã biết đường lên Hoa Sơn!	Hỏi [FFFE0D]Thôn Dân[-] đường đến Hoa Sơn	Hỏi [FFFE0D]Thôn Dân[-] đường đến Hoa Sơn	[url=clientnpcbyidx:test, 161]	[url=clientnpcbyidx:test, 161]	161	161	268	270	265								Exp|20000;Gold|100000			1	1													
270	MainTask1_270	[C] Đường Đi Hiểm Trở	Đường đến Hoa Sơn xa xôi, không biết nhân sĩ ham muốn「Bản Đồ Sơn Hà Xã Tắc」nay tra đến đâu rồi.	Giúp giáo huấn [FFFE0D]Đao Thị Vệ[-]	Giúp giáo huấn [FFFE0D]Đao Thị Vệ[-]	[url=npcanddosomething:test, 1023, 406, autofight, 1]		162	162	269	271				1					Exp|20000;Gold|100000	1023|3	1	1	1													
271	MainTask1_271	[C] Có Kế Sách Gì	Quái lạ! Sao lại có nhiều người vậy nhỉ, hay lại là những người có ý đồ xấu với Độc Cô đại hiệp? Lần này không được thuận lợi lắm, chắc phải tốn rất nhiều thời gian đây, để hỏi xem có đường nào gần hơn không!	Báo [FFFE0D]Thôn Dân[-] đã cho chúng biết tay	Báo [FFFE0D]Thôn Dân[-] đã cho chúng biết tay	[url=clientnpcbyidx:test, 161]	[url=clientnpcbyidx:test, 161]	161	161	270	272	267						1	1	Exp|20000;Gold|100000;Item|222|5			1	1													
272	MainTask1_272	[C] Tiều Phu Trên Núi	Nếu tìm được người tiều phu này thì dễ rồi, chỉ mong không bị kẻ khác nhanh chân hơn!	Tìm [FFFE0D]tung tích Tiều Phu[-] 	Tìm [FFFE0D]tung tích Tiều Phu[-] 	[url=taskitem:test, $T]	[url=taskitem:test, $T]	162|163	162	271	273				1	1	268			Exp|20000;Gold|10000			1	1													
273	MainTask1_273	[C] Tìm Trợ Giúp	Thế này thì quá dễ nhỉ! Xem ra ta là người đầu tiên tìm được hắn...	Hãy tăng cấp đến Lv[FFFE0D]48[-]	Hỏi [FFFE0D]Tiều Phu[-] làm sao để lên Hoa Sơn	[url=clientnpcbyidx:test, 163]	[url=clientnpcbyidx:test, 163]	163	163	272	274	269								Exp|20000;Gold|100000			1	1						48							
274	MainTask1_274	[C] Hoa Sơn Mật Đạo	Thì ra Tiều Phu đi ngao du vài ngày vừa trở về thì bị ta gặp được, quả thật là may mắn!	Nhờ [FFFE0D]Tiều Phu[-] dẫn đường lên núi	Nhờ [FFFE0D]Tiều Phu[-] dẫn đường lên núi	[url=pos:test, 406, 7650, 14000]	[url=pos:test, 406, 7650, 14000]	164	164	273	275				1					Exp|20000;Gold|10000			1	1	[url=dialog:test, 270]				493								
275	MainTask1_275	[C] Tiếp Tục Tiến Lên	Mật đạo này rất lợi hại. Nếu đệ tử Hoa Sơn Phái biết họ sẽ phong tỏa mật đạo.	Cùng [FFFE0D]Tiều Phu[-] đi chung	Cùng [FFFE0D]Tiều Phu[-] đi chung	[url=taskitem:test, $T]	[url=taskitem:test, $T]	175	175	274	276				1	1	271			Exp|20000;Gold|10000			1	1													
276	MainTask1_276	[C] Việc Ngày Trước	Ta nhớ Độc Cô đại hiệp cũng từng lên Hoa Sơn, không biết vị Tiều Phu này có phải người năm xưa đã đưa Độc Cô đại hiệp lên núi không!	Hỏi [FFFE0D]Tiều Phu[-] chuyện năm xưa	Hỏi [FFFE0D]Tiều Phu[-] chuyện năm xưa	[url=clientnpcbyidx:test, 173]	[url=clientnpcbyidx:test, 173]	173	173	275	277	272						1	1	Exp|20000;Gold|10000;Item|1104|1			1	1													
277	MainTask1_277	[C] Tìm Củi Khô	Mật đạo này rất lạnh, mau tìm củi nhóm lửa.	Đến quanh đây [FFFE0D]thu thập Củi Khô[-]	Đến quanh đây [FFFE0D]thu thập Củi Khô[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	174	174	276	278				1	1	255			Exp|20000;Gold|10000			1	1													
278	MainTask1_278	[C] Dùng Lửa Giữ Ấm	Nơi đây không tiện nhóm lửa, hãy tìm nơi khác tiện hơn.	Tìm nơi thích hợp để [FFFE0D]nhóm lửa[-]	Tìm nơi thích hợp để [FFFE0D]nhóm lửa[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	174	174	277	279				1	1	256			Exp|20000;Gold|10000			1	1													
279	MainTask1_279	[C] Tiếp Tục Hỏi Thăm	Thì ra là vậy! Mật đạo đó là bí mật truyền lại của nhà bọn họ, tuy rằng không có gì nổi bật...	Hỏi [FFFE0D]Tiều Phu[-] sự tình tiếp theo	Hỏi [FFFE0D]Tiều Phu[-] sự tình tiếp theo	[url=clientnpcbyidx:test, 173]	[url=clientnpcbyidx:test, 173]	173|176	173	278	280	275								Exp|20000;Gold|100000			1	1													
280	MainTask1_280	[C] Chuyện Cũ	Tiều Phu này luôn nói về chuyện năm xưa vì sao Độc Cô đại hiệp lại lên Hoa Sơn, nhưng Tiều Phu này hơi trẻ, không giống...	Nhờ [FFFE0D]Tiều Phu[-] kể diễn biến sự việc.	Nhờ [FFFE0D]Tiều Phu[-] kể diễn biến sự việc.	[url=goanddosomething:test, 493, 5730, 6370, gotofuben, 5, 4, 1]		174|176	174	279	281			5|4|1	1			1		Exp|20000;Gold|10000			1	1													
281	MainTask1_281	[C] Tiếp Tục Hỏi Thăm	Thì ra là vậy! Mật đạo đó là bí mật truyền lại của nhà bọn họ, tuy rằng không có gì nổi bật...	Hỏi [FFFE0D]Tiều Phu[-] sự tình tiếp theo	Hỏi [FFFE0D]Tiều Phu[-] sự tình tiếp theo	[url=clientnpcbyidx:test, 173]	[url=clientnpcbyidx:test, 173]	173|176	173	280	282	277						1	1	Exp|20000;Gold|10000;Item|222|5			1	1													
282	MainTask1_282	[C] Tìm Quả Dại	Tiều Phu này rất quá đáng, nếu không phải có việc nhờ hắn thì ta đã lấy mạng hắn rồi.	Tìm [FFFE0D]quả[-] ở phía trước	Tìm [FFFE0D]quả[-] ở phía trước	[url=taskitem:test, $T]	[url=taskitem:test, $T]	174|176		281	283				1	1	278			Exp|20000;Gold|10000			1	1													
283	MainTask1_283	[C] Hái Lượm Quả	Tiều Phu này đúng là...Thôi, ta đi tìm chút trái cây ăn đỡ đói đã.	Đến quanh đây [FFFE0D]thu thập quả[-]	Đến quanh đây [FFFE0D]thu thập quả[-]	[url=npc:testtt,1275,493]	[url=npc:testtt,1275,493]	174|176		282	284				1	1				Exp|20000;Gold|10000			1	1													
284	MainTask1_284	[C] Săn Thú Lấy Thịt	Không ngờ lại có gấu, nghe đồn thịt gấu rất ngon, hôm nay phải thử xem!	Diệt [FFFE0D]mãnh thú[-] trên núi	Diệt [FFFE0D]mãnh thú[-] trên núi	[url=npcanddosomething:test, 1251, 493, autofight, 1]		174|176		283	285				1					Exp|20000;Gold|100000	1251|3	1	1	1													
285	MainTask1_285	[C] Chế Biến Thức Ăn	Thịt này đủ để hai ta ăn bữa no nê! Mau lấy về nướng nào!	Lấy thịt thú dữ về [FFFE0D]nướng[-]	Lấy thịt thú dữ về [FFFE0D]nướng[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	174|176	174	284	286				1	1	261			Exp|20000;Gold|10000			1	1													
286	MainTask1_286	[C] Đối Đãi Tử Tế	Lửa đang cháy mạnh, thích hợp nướng thịt.	Lấy thịt nướng và quả cho [FFFE0D]Tiều Phu[-]	Lấy thịt nướng và quả cho [FFFE0D]Tiều Phu[-]	[url=clientnpcbyidx:test, 173]	[url=clientnpcbyidx:test, 173]	173|176	173	285	287	282								Exp|20000;Gold|100000			1	1													
287	MainTask1_287	[C] Chuyện Sau Này	Mong rằng y sẽ cho ta biết rõ chuyện xưa kia.	Tiếp tục nghe [FFFE0D]Tiều Phu[-] nói chuyện	Tiếp tục nghe [FFFE0D]Tiều Phu[-] nói chuyện	[url=goanddosomething:test, 493, 5730, 6370, gotofuben, 5, 5, 1]		174|176	174	286	288			5|5|1	1			1		Exp|20000;Gold|10000			1	1													
288	MainTask1_288	[C] Khí Phách đại hiệp	Không ngờ năm xưa Độc Cô đại hiệp lại có sức lôi cuốn đến thế!	Đa tạ [FFFE0D]Tiều Phu[-] đã nói cho ta biết	Đa tạ [FFFE0D]Tiều Phu[-] đã nói cho ta biết	[url=clientnpcbyidx:test, 173]	[url=clientnpcbyidx:test, 173]	173|176	173|176	287	289	284						1	1	Exp|20000;Gold|10000;Item|1114|1;ComposeValue|2|5			1	1													
289	MainTask1_289	[C] Đến Hoa Sơn	Phía trước có ánh sáng, xem ra sắp đến cửa của mật đạo rồi, hi vọng sẽ đến trước bọn xấu xa đó.	Theo Tiều Phu [FFFE0D]tiếp tục đến Hoa Sơn[-]	Theo Tiều Phu [FFFE0D]tiếp tục đến Hoa Sơn[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	175|176	175|176	288	290				1	1	265			Exp|20000;Gold|10000			1	1	[url=dialog:test, 285]												
290	MainTask1_290	[C] Hết Lời Cảm Tạ	Tuy tên tiều phu có chút đáng ghét nhưng dù sao cũng cảm ơn hắn.	Từ biệt [FFFE0D]Tiều Phu[-]	Từ biệt [FFFE0D]Tiều Phu[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	178|187	187	289	291				1	1	286			Exp|20000;Gold|100000			1	1	[url=dialog:test, 286]												
